General_variables ,unit,description,lower,median,upper,distribution,variable,source of information,,
,€/kg,price per kg apple,1,,1.3,posnorm,apple_price,,,
,€,price of mobile battery for the fence,80,,130,posnorm,battery_price,,,
,€ / hen,bedding,0.9,,1.1,posnorm,bedding_price,,,
,€ / hen,base cost animal insurance,0.02732,,0.08938,posnorm,chicken_insurance,,,
,€ / hen,cleaning costs (including labour),0.39,,0.41,posnorm,cleaning_price,,,
,l/h,"consumption of diesel, 36Kw tractor",7.8,,8.6,posnorm,consumption_diesel_hour,,,
,€ / hen,investment cost portable hen pen,17,,19,posnorm,coop_invest,,,
,h / hen ,daily tasks,0.9,,1.1,posnorm,cost_daily,,,
,€/ha,costs for fertilizer per ha,500,,739,posnorm,cost_fertilizer,,,
,€/ha,costs for fungicides per ha,30,,50,posnorm,cost_fungicide,,,
,€ / hen,young hen,8,,10,posnorm,cost_hen,,,
,€/ha,costs for herbicides per ha,42,,52,posnorm,cost_herbicide,,,
,€/ha,costs for insecticides per ha,200,,250,posnorm,cost_insecticide,,,
,€,cost young apple tree (3 years) ,16,,32,posnorm,cost_tree,,,
,€,Costs visiting veterinary,440,,560,posnorm,cost_vet_visit,,,
,h / hen ,"periodically costs (cleaning, moving the pen…)",0.49,,0.51,posnorm,cost_weekly,,,
,€ / hen,Costs vaccination,0.03,,0.09,posnorm,costs_vaccin,,,
,number,random number of trees damaged by voles,3,,80,posnorm,dead_trees,,,
,€/l,price per liter diesel,1.1,,1.5,posnorm,diesel_price,,,
,€ / hen,depreciating after 12 years,11.95,,11.97,posnorm,discount,,,
,%,discount rate,0.01,,0.05,tnorm_0_1,discount_rate,,,
,€,egg price,0.2,,0.36,posnorm,egg_price,,,
,days,egg laying period,349,,351,posnorm,egg_time,,,
,egg / hen / laying period,laid eggs,270,,290,posnorm,eggs_per_hen,,,
,kg / hen / day,feed consumption,0.17,,0.19,posnorm,feed_need,,,
,€ / kg,feed price,0.28,,0.36,posnorm,feed_price,,,
,€ / m,price of electric mobile fence,4,,6,posnorm,fence_price,,,
,kg  ,yield per tree,6,,18,posnorm,harvest_tree,,,
,€ / h,Costs hourly wage (including employers costs),12,,17,posnorm,hourly_wage,,,
,€ / hen,interest rate costs (4%),3.18,,3.2,posnorm,interest_rate,,,
,h / hen ,"irregular tasks (calling vet, …)",0.149,,0.151,posnorm,irregular_cost,,,
,€ / hen ,maintenance costs coop,2.5,,3.2,posnorm,maintenance_coop,,,
,%,share of marketable eggs,0.78,,0.82,tnorm_0_1,marketable_share,,,
,€ / hen,marketing costs,0.9,,1.1,posnorm,marketing_cost,,,
